timestamp,date,meal,food_name,grams,kcal,protein_g,carbs_g,fat_g
2025-11-05 00:53:26,2025-11-05,Breakfast,Banana,100.0,89.0,1.1,22.8,0.3
2025-11-05 00:53:36,2025-11-05,Breakfast,Apple,100.0,52.0,0.3,14.0,0.2
2025-11-05 01:00:35,2025-11-05,Dinner,Cooked Rice,200.0,260.0,5.4,56.0,0.6
2025-11-05T01:20:37.050137,2025-11-05,Snack,Milk,60.0,36.0,1.92,3.0,1.98
